Date,Time,CHULLORA HUMID 1h average [%],CHULLORA SOLAR 1h average [W/m≤]
09/08/2015,01:00,84.4,-4.5
09/08/2015,02:00,86.4,-4.3
09/08/2015,03:00,87.7,-4.3
09/08/2015,04:00,83.9,-4.5
09/08/2015,05:00,84.7,-4.4
09/08/2015,06:00,86.5,-4.2
09/08/2015,07:00,89.2,-0.6
09/08/2015,08:00,84.8,30
09/08/2015,09:00,74.2,232.6
09/08/2015,10:00,65.2,454.9
09/08/2015,11:00,57.9,606.8
09/08/2015,12:00,54.3,673.8
09/08/2015,13:00,50.2,652.9
09/08/2015,14:00,48.8,571.4
09/08/2015,15:00,51.3,372.7
09/08/2015,16:00,57.4,171.8
09/08/2015,17:00,61.5,101.6
09/08/2015,18:00,64.3,1.1
09/08/2015,19:00,70.1,-4.3
09/08/2015,20:00,80.1,-3.2
09/08/2015,21:00,83.8,-2.6
09/08/2015,22:00,85,-2.1
09/08/2015,23:00,78.1,-2.3
09/08/2015,24:00,84.6,-2.5
10/08/2015,01:00,93.4,-4.1
10/08/2015,02:00,93.7,-3.6
10/08/2015,03:00,91.7,-3.5
10/08/2015,04:00,91.8,-3.9
10/08/2015,05:00,94.4,-4
10/08/2015,06:00,95.5,-4
10/08/2015,07:00,95.4,-0.2
10/08/2015,08:00,92.4,30.2
10/08/2015,09:00,73.8,221.4
10/08/2015,10:00,57,461.5
10/08/2015,11:00,44.2,610.8
10/08/2015,12:00,39.9,678.3
10/08/2015,13:00,39.6,656.4
10/08/2015,14:00,38,580
10/08/2015,15:00,36.9,455.8
10/08/2015,16:00,34.5,290.2
10/08/2015,17:00,35.8,106.1
10/08/2015,18:00,48.2,0.5
10/08/2015,19:00,65.5,-4.6
10/08/2015,20:00,76.3,-4.3
10/08/2015,21:00,70,-4.3
10/08/2015,22:00,50,-5
10/08/2015,23:00,47,-5
10/08/2015,24:00,58.6,-4.7
11/08/2015,01:00,68.5,-3.8
11/08/2015,02:00,67.1,-3.5
